"CUSTOMER_ID";"CITY";"STATE_PROVINCE";"COUNTRY";"BIRTHDATE";"MARITAL_STATUS";"YEARLY_INCOME";"GENDER";"MEMBER_CARD";"OCCUPATION";"FULLNAME";"POPULATION"
142;"Renton";"WA";"USA";05-JUL-58;"M";"$50K - $70K";"F";"Golden";"Professional";"Ann Morreale";328000000
143;"Glendale";"CA";"USA";17-AUG-75;"M";"$30K - $50K";"F";"Golden";"Manual";"Sheila Rupert";328000000
144;"Westminster";"BC";"Canada";25-JUN-64;"S";"$10K - $30K";"M";"Bronze";"Skilled Manual";"Ashley Pierson";38000000
145;"Victoria";"BC";"Canada";16-MAR-74;"M";"$10K - $30K";"M";"Normal";"Manual";"Ivan Nickels";38000000
146;"Victoria";"BC";"Canada";17-OCT-60;"S";"$130K - $150K";"M";"Bronze";"Professional";"Chad Neuhauser";38000000
147;"Sooke";"BC";"Canada";05-MAY-17;"S";"$110K - $130K";"M";"Bronze";"Professional";"Ann Coke";38000000
148;"Kirkland";"WA";"USA";12-APR-50;"S";"$70K - $90K";"M";"Bronze";"Management";"Jon Scarbrough";328000000
149;"Chula Vista";"CA";"USA";27-NOV-64;"S";"$50K - $70K";"M";"Bronze";"Professional";"Lillian Martensen";328000000
150;"Seattle";"WA";"USA";06-MAY-29;"M";"$30K - $50K";"F";"Bronze";"Manual";"Mary McCormick";328000000
151;"San Jose";"CA";"USA";08-APR-59;"M";"$30K - $50K";"F";"Bronze";"Management";"James Sparacino";328000000
152;"Ballard";"WA";"USA";04-MAR-53;"S";"$150K +";"F";"Silver";"Professional";"John Racette";328000000
153;"Guadalajara";"Jalisco";"Mexico";26-NOV-14;"M";"$10K - $30K";"F";"Normal";"Manual";"Edwardo Thompson";126000000
154;"Lebanon";"OR";"USA";25-OCT-16;"S";"$50K - $70K";"F";"Bronze";"Professional";"Sam Warren";328000000
155;"Port Hammond";"BC";"Canada";17-MAY-66;"M";"$110K - $130K";"M";"Silver";"Professional";"Shelby Chow-Wang";38000000
156;"Sooke";"BC";"Canada";23-AUG-44;"S";"$130K - $150K";"M";"Bronze";"Professional";"Nelly Wood";38000000
157;"La Mesa";"CA";"USA";15-APR-10;"S";"$50K - $70K";"F";"Bronze";"Professional";"Jackie Morgan";328000000
158;"Tacoma";"WA";"USA";19-DEC-61;"M";"$130K - $150K";"F";"Bronze";"Management";"Gavin Boje";328000000
159;"Milwaukie";"OR";"USA";02-SEP-40;"M";"$30K - $50K";"M";"Bronze";"Skilled Manual";"Marlene Tsujimoto";328000000
160;"Renton";"WA";"USA";08-MAR-61;"M";"$90K - $110K";"F";"Golden";"Professional";"RitaIva Bouton";328000000
161;"Grossmont";"CA";"USA";23-AUG-33;"M";"$30K - $50K";"F";"Bronze";"Manual";"Dell Gras";328000000
162;"Ladner";"BC";"Canada";05-MAR-63;"M";"$30K - $50K";"F";"Bronze";"Manual";"Christopher Solano";38000000
163;"Los Angeles";"CA";"USA";17-JUN-52;"S";"$10K - $30K";"F";"Normal";"Skilled Manual";"George Armstrong";328000000
164;"Coronado";"CA";"USA";22-FEB-47;"S";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Kristine Aldred";328000000
165;"Milwaukie";"OR";"USA";17-AUG-35;"S";"$130K - $150K";"M";"Bronze";"Professional";"Tom Jorgenson";328000000
166;"Oak Bay";"BC";"Canada";20-SEP-32;"S";"$30K - $50K";"F";"Golden";"Manual";"Dana Turner";38000000
167;"Lemon Grove";"CA";"USA";07-JUN-32;"S";"$70K - $90K";"M";"Bronze";"Professional";"Terry Zakerski";328000000
168;"Walla Walla";"WA";"USA";24-JUL-63;"M";"$10K - $30K";"F";"Normal";"Manual";"David Carlson";328000000
169;"Lebanon";"OR";"USA";16-DEC-56;"M";"$50K - $70K";"F";"Bronze";"Manual";"Linda Symons";328000000
170;"Los Angeles";"CA";"USA";13-JUL-20;"S";"$10K - $30K";"M";"Normal";"Skilled Manual";"Louis Reynolds";328000000
171;"Downey";"CA";"USA";02-OCT-32;"M";"$10K - $30K";"M";"Normal";"Manual";"Maureen Ibsen";328000000
172;"West Covina";"CA";"USA";05-OCT-42;"M";"$50K - $70K";"F";"Silver";"Professional";"Virginia Ciochon";328000000
173;"Bellingham";"WA";"USA";21-FEB-40;"S";"$50K - $70K";"F";"Golden";"Manual";"Steve Berger";328000000
174;"San Carlos";"CA";"USA";23-JUN-53;"M";"$90K - $110K";"F";"Bronze";"Management";"James Bayol";328000000
175;"Metchosin";"BC";"Canada";14-MAR-76;"S";"$70K - $90K";"F";"Bronze";"Professional";"Meredith Thumann";38000000
176;"Concord";"CA";"USA";16-MAY-60;"M";"$110K - $130K";"M";"Silver";"Professional";"Julie Jones";328000000
177;"Corvallis";"OR";"USA";13-SEP-75;"M";"$10K - $30K";"M";"Normal";"Skilled Manual";"Janet Bury";328000000
178;"Woodburn";"OR";"USA";19-DEC-67;"S";"$30K - $50K";"M";"Bronze";"Manual";"Onita Bevan";328000000
179;"Lakewood";"CA";"USA";01-NOV-18;"S";"$130K - $150K";"M";"Golden";"Professional";"Mary Monarco";328000000
180;"Seattle";"WA";"USA";03-MAR-45;"S";"$50K - $70K";"F";"Bronze";"Professional";"Vicky Zingarelli";328000000
181;"Bremerton";"WA";"USA";23-JUN-65;"S";"$30K - $50K";"F";"Bronze";"Manual";"Helen Valentine";328000000
182;"Everett";"WA";"USA";24-MAR-24;"M";"$110K - $130K";"F";"Bronze";"Management";"Carol Scheulen";328000000
183;"Langford";"BC";"Canada";19-NOV-69;"M";"$130K - $150K";"M";"Bronze";"Professional";"Virgie Koon";38000000
184;"Oak Bay";"BC";"Canada";20-MAY-68;"M";"$70K - $90K";"F";"Bronze";"Professional";"Sarah Amole";38000000
185;"Edmonds";"WA";"USA";10-JUL-23;"S";"$10K - $30K";"M";"Normal";"Manual";"Cecil Hill";328000000
186;"Imperial Beach";"CA";"USA";15-FEB-31;"M";"$110K - $130K";"F";"Bronze";"Professional";"Ruth Tate";328000000
187;"Woodburn";"OR";"USA";01-DEC-75;"S";"$10K - $30K";"M";"Normal";"Manual";"Larry Schnurr";328000000
188;"Albany";"OR";"USA";13-NOV-59;"M";"$30K - $50K";"F";"Golden";"Skilled Manual";"Jerry Sutton";328000000
189;"Metchosin";"BC";"Canada";26-NOV-19;"M";"$10K - $30K";"M";"Normal";"Skilled Manual";"Kevin Mlincek";38000000
190;"Corvallis";"OR";"USA";25-DEC-64;"M";"$110K - $130K";"F";"Bronze";"Professional";"Edward Tucker";328000000
191;"Arcadia";"CA";"USA";13-MAY-49;"S";"$30K - $50K";"F";"Normal";"Manual";"Kenton Forham";328000000
192;"Spokane";"WA";"USA";24-JUN-77;"M";"$50K - $70K";"F";"Bronze";"Professional";"Brittany Malik";328000000
193;"Los Angeles";"CA";"USA";07-APR-42;"S";"$30K - $50K";"M";"Bronze";"Skilled Manual";"Jeannette Eldridge";328000000
194;"Mexico City";"Mexico";"Mexico";07-MAY-70;"S";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Terry Anderson";126000000
195;"N. Vancouver";"BC";"Canada";24-APR-65;"S";"$50K - $70K";"F";"Bronze";"Professional";"Loni Sosa";38000000
196;"Daly City";"CA";"USA";08-JUL-66;"S";"$10K - $30K";"M";"Normal";"Manual";"Marie Mann";328000000
197;"National City";"CA";"USA";25-JUN-48;"M";"$10K - $30K";"F";"Normal";"Skilled Manual";"Michael Prater";328000000
198;"Imperial Beach";"CA";"USA";22-NOV-39;"M";"$10K - $30K";"F";"Normal";"Skilled Manual";"Karen Ansaldo";328000000
199;"Richmond";"CA";"USA";15-APR-46;"M";"$10K - $30K";"M";"Normal";"Professional";"Lance Caijem";328000000
200;"Los Angeles";"CA";"USA";13-JUN-77;"S";"$50K - $70K";"F";"Bronze";"Skilled Manual";"Pamela Yates";328000000
201;"Santa Fe";"DF";"Mexico";11-JUL-76;"M";"$50K - $70K";"F";"Bronze";"Professional";"Iwona Turner";126000000
202;"Santa Cruz";"CA";"USA";13-SEP-46;"S";"$10K - $30K";"F";"Normal";"Manual";"Mary Fulcher";328000000
203;"Newton";"BC";"Canada";24-APR-52;"M";"$50K - $70K";"M";"Silver";"Management";"Raymond Berg";38000000
204;"N. Vancouver";"BC";"Canada";06-NOV-68;"M";"$130K - $150K";"M";"Bronze";"Management";"Ramona Lopez";38000000
205;"San Diego";"CA";"USA";16-AUG-60;"M";"$110K - $130K";"M";"Bronze";"Management";"Helen Valdivia";328000000
206;"Sedro Woolley";"WA";"USA";23-AUG-79;"S";"$50K - $70K";"F";"Bronze";"Management";"Beverly Cardoza";328000000
207;"La Jolla";"CA";"USA";20-DEC-38;"S";"$70K - $90K";"M";"Bronze";"Professional";"Mary Hall";328000000
208;"Woodburn";"OR";"USA";17-JUN-16;"M";"$130K - $150K";"F";"Golden";"Professional";"Rachel Minarick";328000000
209;"Imperial Beach";"CA";"USA";08-APR-25;"S";"$70K - $90K";"M";"Bronze";"Professional";"Dorine Los Olmos";328000000
210;"Burnaby";"BC";"Canada";09-OCT-11;"M";"$70K - $90K";"F";"Normal";"Management";"Dave Garner";38000000
211;"Santa Anita";"DF";"Mexico";24-MAY-38;"M";"$10K - $30K";"M";"Normal";"Skilled Manual";"Lois Leong";126000000
212;"Novato";"CA";"USA";04-MAY-71;"M";"$10K - $30K";"M";"Normal";"Manual";"Larasa Tate";328000000
424;"West Covina";"CA";"USA";10-NOV-15;"M";"$10K - $30K";"F";"Normal";"Professional";"Jaunita Homax";328000000
425;"San Carlos";"CA";"USA";02-MAY-79;"S";"$30K - $50K";"M";"Bronze";"Manual";"Margaret Adams";328000000
426;"Edmonds";"WA";"USA";26-DEC-43;"M";"$70K - $90K";"M";"Silver";"Professional";"Carla Zubaty";328000000
427;"Tlaxiaco";"Oaxaca";"Mexico";15-MAR-54;"S";"$50K - $70K";"M";"Bronze";"Professional";"Tammy Khan";126000000
428;"Colma";"CA";"USA";18-MAR-65;"M";"$30K - $50K";"M";"Bronze";"Skilled Manual";"David Brinkd";328000000
429;"Altadena";"CA";"USA";07-JUN-63;"S";"$50K - $70K";"M";"Bronze";"Professional";"James Clark";328000000
430;"Spokane";"WA";"USA";09-NOV-76;"S";"$90K - $110K";"M";"Bronze";"Professional";"Helen Dennis";328000000
431;"San Jose";"CA";"USA";27-JUL-29;"M";"$90K - $110K";"F";"Bronze";"Management";"Eric Brumfield";328000000
432;"Lynnwood";"WA";"USA";03-SEP-12;"M";"$70K - $90K";"F";"Golden";"Professional";"Madalena Sanchez";328000000
433;"Oak Bay";"BC";"Canada";26-MAR-27;"S";"$110K - $130K";"F";"Bronze";"Professional";"Gary Suess";38000000
434;"Oak Bay";"BC";"Canada";05-MAY-19;"M";"$70K - $90K";"F";"Golden";"Management";"Glenn Trach";38000000
435;"Olympia";"WA";"USA";15-APR-41;"S";"$10K - $30K";"F";"Golden";"Skilled Manual";"Cynthia White";328000000
436;"Long Beach";"CA";"USA";17-AUG-67;"M";"$70K - $90K";"M";"Bronze";"Professional";"Walter Brian";328000000
437;"Shawnee";"BC";"Canada";10-NOV-17;"M";"$110K - $130K";"F";"Bronze";"Professional";"Christie Trujillo";38000000
438;"Mexico City";"Mexico";"Mexico";10-AUG-46;"M";"$70K - $90K";"F";"Bronze";"Management";"Lili Alameda";126000000
439;"Salem";"OR";"USA";05-APR-21;"M";"$30K - $50K";"M";"Silver";"Management";"Dorothy Fox";328000000
440;"Ballard";"WA";"USA";07-OCT-20;"M";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Aldeen Gallagher";328000000
441;"Guadalajara";"Jalisco";"Mexico";23-NOV-46;"M";"$50K - $70K";"F";"Silver";"Management";"Dorothy Myer";126000000
442;"Torrance";"CA";"USA";01-JUN-54;"M";"$110K - $130K";"F";"Golden";"Professional";"David Byrnes";328000000
443;"Guadalajara";"Jalisco";"Mexico";14-MAY-27;"S";"$50K - $70K";"M";"Bronze";"Management";"Justine Ryan";126000000
444;"Victoria";"BC";"Canada";23-JUN-16;"M";"$10K - $30K";"F";"Normal";"Manual";"Forrest Chand";38000000
445;"Cliffside";"BC";"Canada";09-JUN-46;"S";"$30K - $50K";"M";"Bronze";"Skilled Manual";"Margaret Vanderkamp";38000000
446;"Woodburn";"OR";"USA";08-JUL-21;"S";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Rosmarie Carroll";328000000
447;"Altadena";"CA";"USA";23-NOV-76;"S";"$10K - $30K";"M";"Normal";"Management";"Dorothy Contreras";328000000
448;"Puyallup";"WA";"USA";07-FEB-33;"M";"$30K - $50K";"M";"Bronze";"Manual";"Joseph Cantoni";328000000
449;"Mexico City";"Mexico";"Mexico";16-NOV-68;"M";"$30K - $50K";"F";"Silver";"Manual";"Celine Reed";126000000
450;"Mexico City";"Mexico";"Mexico";20-OCT-22;"S";"$70K - $90K";"M";"Bronze";"Professional";"Glin Peterson";126000000
451;"Ladner";"BC";"Canada";11-AUG-18;"M";"$30K - $50K";"F";"Silver";"Manual";"Stephen Osborn";38000000
452;"Tlaxiaco";"Oaxaca";"Mexico";21-NOV-18;"S";"$10K - $30K";"F";"Normal";"Skilled Manual";"Lowell Graham.";126000000
453;"Coronado";"CA";"USA";11-NOV-70;"M";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Jamie Shaddy";328000000
454;"Tacoma";"WA";"USA";09-APR-61;"S";"$130K - $150K";"M";"Bronze";"Professional";"Hattie Haemon";328000000
455;"Shawnee";"BC";"Canada";01-AUG-68;"S";"$110K - $130K";"F";"Bronze";"Management";"Jame Krow";38000000
456;"Renton";"WA";"USA";27-OCT-29;"M";"$70K - $90K";"M";"Bronze";"Professional";"Shane Belli";328000000
457;"Torrance";"CA";"USA";24-NOV-29;"S";"$30K - $50K";"F";"Bronze";"Manual";"Ethel Porter";328000000
458;"Ladner";"BC";"Canada";27-MAR-69;"S";"$30K - $50K";"F";"Normal";"Skilled Manual";"Gloria Lesko";38000000
459;"Burlingame";"CA";"USA";10-SEP-74;"S";"$70K - $90K";"M";"Bronze";"Professional";"Michael Worland";328000000
460;"Concord";"CA";"USA";19-MAY-21;"S";"$70K - $90K";"M";"Bronze";"Professional";"Alvin Torre";328000000
461;"Lake Oswego";"OR";"USA";02-JAN-13;"M";"$10K - $30K";"M";"Normal";"Manual";"Susan Ramos";328000000
462;"La Cruz";"Sinaloa";"Mexico";10-FEB-32;"S";"$50K - $70K";"F";"Bronze";"Management";"Jill Christie";126000000
463;"Yakima";"WA";"USA";06-MAY-61;"S";"$10K - $30K";"M";"Normal";"Manual";"Juanita Zocchi";328000000
464;"Seattle";"WA";"USA";04-NOV-38;"S";"$70K - $90K";"M";"Bronze";"Professional";"Sandra Altamirano";328000000
465;"Corvallis";"OR";"USA";21-SEP-47;"S";"$30K - $50K";"M";"Bronze";"Manual";"Edna Benson";328000000
466;"Glendale";"CA";"USA";22-APR-33;"M";"$50K - $70K";"M";"Golden";"Manual";"Alexander Deborde";328000000
467;"Corvallis";"OR";"USA";10-OCT-61;"S";"$10K - $30K";"F";"Normal";"Skilled Manual";"Barbara Calone";328000000
468;"Guadalajara";"Jalisco";"Mexico";18-OCT-23;"M";"$30K - $50K";"F";"Bronze";"Manual";"Cheryl Pompa";126000000
469;"Pomona";"CA";"USA";05-JUN-37;"M";"$30K - $50K";"M";"Bronze";"Skilled Manual";"Doris Traube";328000000
470;"Newton";"BC";"Canada";11-OCT-72;"M";"$30K - $50K";"F";"Bronze";"Manual";"Cathy Sloan";38000000
471;"Coronado";"CA";"USA";27-OCT-41;"S";"$30K - $50K";"F";"Normal";"Skilled Manual";"Homer Villa";328000000
472;"Tacoma";"WA";"USA";07-DEC-46;"M";"$30K - $50K";"F";"Bronze";"Manual";"Deena Herman";328000000
473;"Oregon City";"OR";"USA";18-JUN-66;"M";"$30K - $50K";"F";"Bronze";"Manual";"Leota Roberts";328000000
474;"Tixapan";"DF";"Mexico";02-AUG-80;"M";"$10K - $30K";"F";"Normal";"Manual";"John Mc Clane";126000000
475;"Glendale";"CA";"USA";10-NOV-47;"M";"$30K - $50K";"M";"Golden";"Skilled Manual";"Jennifer Maxham";328000000
476;"Lakewood";"CA";"USA";16-MAR-26;"S";"$70K - $90K";"F";"Bronze";"Management";"Elizabeth Sullivan";328000000
477;"Burien";"WA";"USA";07-OCT-62;"M";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Irene Watada";328000000
478;"La Mesa";"CA";"USA";25-OCT-29;"M";"$50K - $70K";"F";"Bronze";"Management";"Constance Rhiger";328000000
479;"Kirkland";"WA";"USA";19-OCT-19;"S";"$50K - $70K";"F";"Bronze";"Professional";"Rhoda Finley";328000000
480;"Oak Bay";"BC";"Canada";13-JAN-29;"M";"$130K - $150K";"F";"Bronze";"Professional";"Kathleen Winter";38000000
481;"Spring Valley";"CA";"USA";12-SEP-12;"M";"$30K - $50K";"M";"Bronze";"Skilled Manual";"Carla Adams";328000000
482;"Imperial Beach";"CA";"USA";10-JAN-30;"S";"$30K - $50K";"M";"Bronze";"Manual";"Vanessa Tench";328000000
483;"San Francisco";"CA";"USA";22-APR-20;"M";"$130K - $150K";"M";"Golden";"Professional";"Carol Brink";328000000
484;"Lebanon";"OR";"USA";27-NOV-14;"M";"$90K - $110K";"F";"Silver";"Management";"Adam Reynolds";328000000
485;"Issaquah";"WA";"USA";23-JUN-72;"M";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Constance Posner";328000000
486;"Merida";"Yucatan";"Mexico";26-JUL-69;"M";"$30K - $50K";"M";"Bronze";"Skilled Manual";"William Hapke";126000000
487;"Beverly Hills";"CA";"USA";13-APR-70;"S";"$30K - $50K";"F";"Golden";"Skilled Manual";"Joshua Huff";328000000
488;"San Carlos";"CA";"USA";17-FEB-37;"M";"$50K - $70K";"M";"Bronze";"Professional";"Carolee Brown";328000000
489;"Acapulco";"Guerrero";"Mexico";09-JUL-30;"M";"$70K - $90K";"M";"Golden";"Professional";"Frances Giglio";126000000
490;"Beaverton";"OR";"USA";06-FEB-64;"S";"$130K - $150K";"F";"Bronze";"Management";"Irma Sherwood";328000000
491;"Acapulco";"Guerrero";"Mexico";22-MAY-76;"M";"$50K - $70K";"F";"Bronze";"Management";"Benjamin Becker";126000000
492;"Daly City";"CA";"USA";25-APR-16;"M";"$30K - $50K";"M";"Bronze";"Clerical";"Chad Tedford";328000000
493;"Ballard";"WA";"USA";25-NOV-27;"M";"$50K - $70K";"M";"Golden";"Management";"Luke Roy";328000000
494;"Haney";"BC";"Canada";27-APR-40;"S";"$130K - $150K";"F";"Bronze";"Professional";"Jean Holloway";38000000
495;"Lynnwood";"WA";"USA";18-DEC-62;"M";"$50K - $70K";"M";"Bronze";"Professional";"Olga Trau";328000000
496;"Marysville";"WA";"USA";17-MAY-50;"S";"$10K - $30K";"M";"Normal";"Manual";"Steve Carnes";328000000
497;"Camacho";"Zacatecas";"Mexico";03-JUN-53;"S";"$30K - $50K";"M";"Golden";"Manual";"Betty Potts";126000000
498;"Merida";"Yucatan";"Mexico";09-SEP-45;"S";"$50K - $70K";"M";"Bronze";"Professional";"Edward Kozlowski";126000000
499;"Chula Vista";"CA";"USA";02-NOV-79;"S";"$50K - $70K";"M";"Silver";"Management";"Sharon Looney";328000000
500;"Bellflower";"CA";"USA";04-MAR-35;"M";"$10K - $30K";"F";"Normal";"Manual";"Patrick Magenheimer";328000000
501;"La Jolla";"CA";"USA";13-MAR-43;"S";"$30K - $50K";"F";"Bronze";"Professional";"Sue Hofsetz";328000000
502;"Marysville";"WA";"USA";25-MAR-14;"S";"$30K - $50K";"F";"Bronze";"Manual";"Janet Gilliat";328000000
503;"Cliffside";"BC";"Canada";09-AUG-47;"M";"$30K - $50K";"F";"Bronze";"Clerical";"Charlene Wojcik";38000000
504;"Albany";"OR";"USA";10-FEB-46;"S";"$10K - $30K";"F";"Normal";"Manual";"Eunice Wolf";328000000
505;"Bellflower";"CA";"USA";27-APR-71;"M";"$90K - $110K";"F";"Golden";"Professional";"Kelly Whitworth";328000000
506;"Langley";"BC";"Canada";05-OCT-79;"S";"$70K - $90K";"F";"Bronze";"Professional";"Judy Thames";38000000
507;"Palo Alto";"CA";"USA";02-NOV-65;"S";"$70K - $90K";"M";"Bronze";"Professional";"Pearlie Rusek";328000000
508;"Burlingame";"CA";"USA";03-AUG-37;"M";"$30K - $50K";"F";"Bronze";"Management";"Peggy Justice";328000000
509;"Pomona";"CA";"USA";16-AUG-68;"M";"$50K - $70K";"M";"Bronze";"Professional";"William Conner";328000000
510;"Camacho";"Zacatecas";"Mexico";26-DEC-55;"S";"$30K - $50K";"F";"Bronze";"Professional";"Ciro Bauer";126000000
511;"Spokane";"WA";"USA";14-MAY-39;"M";"$10K - $30K";"F";"Normal";"Manual";"Takiko Collins";328000000
512;"El Cajon";"CA";"USA";14-MAR-55;"M";"$30K - $50K";"F";"Golden";"Manual";"Leonard Smith";328000000
513;"San Jose";"CA";"USA";07-APR-32;"S";"$30K - $50K";"M";"Bronze";"Manual";"Lenore Yasi";328000000
514;"San Jose";"CA";"USA";11-MAR-56;"S";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Lester Bowman";328000000
515;"San Jose";"CA";"USA";02-JAN-52;"M";"$50K - $70K";"F";"Bronze";"Professional";"Barbara Germanson";328000000
516;"San Francisco";"CA";"USA";28-FEB-40;"S";"$70K - $90K";"M";"Bronze";"Professional";"Mary Smith";328000000
517;"Newport Beach";"CA";"USA";18-DEC-22;"M";"$30K - $50K";"M";"Bronze";"Professional";"Alice Serventi";328000000
518;"Haney";"BC";"Canada";16-JUN-13;"M";"$30K - $50K";"F";"Golden";"Skilled Manual";"Lee Chapla";38000000
519;"Victoria";"BC";"Canada";08-OCT-20;"M";"$110K - $130K";"F";"Bronze";"Professional";"DeeDee Cameron";38000000
520;"Marysville";"WA";"USA";18-APR-63;"S";"$90K - $110K";"M";"Normal";"Professional";"Jo Zgeirmann";328000000
521;"Milwaukie";"OR";"USA";04-JAN-50;"M";"$30K - $50K";"M";"Silver";"Manual";"William Mondragon";328000000
522;"Shawnee";"BC";"Canada";07-APR-20;"S";"$70K - $90K";"F";"Bronze";"Professional";"Cecil Allison";38000000
523;"San Gabriel";"CA";"USA";01-FEB-38;"M";"$50K - $70K";"M";"Golden";"Manual";"Nieves Vargas";328000000
524;"Glendale";"CA";"USA";26-JUN-42;"S";"$10K - $30K";"F";"Normal";"Manual";"Helen Vlass";328000000
525;"Burlingame";"CA";"USA";20-MAY-47;"S";"$10K - $30K";"M";"Normal";"Manual";"Abigail Gonzalez";328000000
526;"National City";"CA";"USA";17-MAR-54;"M";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Denean Ison";328000000
527;"Pomona";"CA";"USA";13-JUL-12;"M";"$10K - $30K";"F";"Normal";"Skilled Manual";"Billy Trent";328000000
528;"N. Vancouver";"BC";"Canada";11-JAN-60;"M";"$110K - $130K";"M";"Bronze";"Professional";"Mary Vaca";38000000
213;"Woodland Hills";"CA";"USA";19-DEC-15;"S";"$30K - $50K";"F";"Bronze";"Manual";"David Watson";328000000
